care_name,prom_career,num_care,prom_career_ar
SEO,What are the best tactics for [TOPIC] international SEO,,ما هي أفضل الأساليب لـ [TOPIC] SEO الدولي
SEO,Find the best keywords for [TOPIC] AMP optimization,,ابحث عن أفضل الكلمات الرئيسية لتحسين [TOPIC] AMP
SEO,Create a list of potential podcast or podcast guest opportunities for [TOPIC],,أنشئ قائمة بفرص ضيوف البودكاست أو ضيوف البودكاست المحتملين لـ [الموضوع]
SEO,Find the best keywords for [TOPIC] social media optimization,,ابحث عن أفضل الكلمات الرئيسية لتحسين وسائل التواصل الاجتماعي [TOPIC].
SEO,Find popular content topics related to [TOPIC],,ابحث عن موضوعات المحتوى الشائعة المتعلقة بـ [TOPIC]
SEO,Research the best SEO tactics for [TOPIC] and provide actionable steps,,ابحث عن أفضل أساليب تحسين محركات البحث لـ [TOPIC] وقدم خطوات قابلة للتنفيذ
SEO,Create a list of potential video series or webinar ideas related to [TOPIC],,قم بإنشاء قائمة بسلسلة مقاطع الفيديو المحتملة أو أفكار الندوات عبر الويب المتعلقة بـ [الموضوع]
SEO,Research competitor strategies related to [TOPIC],,بحث في استراتيجيات المنافسين المتعلقة بـ [الموضوع]
SEO,Find canonical tag examples related to [TOPIC],,ابحث عن أمثلة العلامات الأساسية ذات الصلة بـ [الموضوع]
SEO,Create an example keyword list targeting multiple geographic locations for [TOPIC],,إنشاء نموذج لقائمة كلمات رئيسية تستهدف مواقع جغرافية متعددة لـ [TOPIC]
SEO,Generate keyword ideas targeting different stages of the customer purchase funnel for [TOPIC],,أنشئ أفكارًا للكلمات الرئيسية تستهدف مراحل مختلفة من مسار شراء العميل لـ [TOPIC]
SEO,Identify industry hashtags related to [TOPIC].,,حدد علامات التصنيف الصناعية المتعلقة بـ [الموضوع].
Developers,Write a tutorial on how to generate code snippets using Chat GPT.,,اكتب برنامجًا تعليميًا حول كيفية إنشاء مقتطفات التعليمات البرمجية باستخدام Chat GPT.
Developers,Create a list of five Chat GPT debugging-friendly features.,,قم بإنشاء قائمة بخمس ميزات صديقة لتصحيح أخطاء Chat GPT.
Developers,Write a blog post discussing the advantages of utilizing Chat GPT for agile development.,,اكتب تدوينة تناقش مزايا استخدام Chat GPT للتطوير السريع.
Developers,Create a list of the top five Chat GPT tools that every developer should employ.,,قم بإنشاء قائمة بأفضل خمس أدوات Chat GPT التي يجب على كل مطور استخدامها.
Developers,Make a list of five Chat GPT features that can aid documentation.,,أنشئ قائمة بخمس ميزات Chat GPT التي يمكن أن تساعد في التوثيق.
Developers,Comment on a Chat GPT plugin for your favorite IDE.,,قم بالتعليق على البرنامج الإضافي Chat GPT لـ IDE المفضل لديك.
Developers,Make a list of five Chat GPT features that can aid testing and QA.,,قم بإعداد قائمة بخمس ميزات Chat GPT التي يمكن أن تساعد في الاختبار وضمان الجودة.
Developers,Create a tutorial on optimizing code performance using Chat GPT.,,قم بإنشاء برنامج تعليمي حول تحسين أداء التعليمات البرمجية باستخدام Chat GPT.
Developers,Create an article about Chat GPT���s future in software development.,,قم بإنشاء مقال حول مستقبل Chat GPT في تطوير البرمجيات.
Writers,Create a short story about a character who discovers an undiscovered talent.,,أنشئ قصة قصيرة عن شخصية تكتشف موهبة غير مكتشفة.
Writers,Write a poem about nature���s beauty.,,اكتب قصيدة عن جمال الطبيعة.
Writers,Write an article about the benefits of web hosting products such as dedicated hosting USA.,,اكتب مقالًا عن فوائد منتجات استضافة الويب مثل الاستضافة المخصصة بالولايات المتحدة الأمريكية.
Writers,Write a blog post about the advantages of journaling.,,اكتب تدوينة حول مزايا كتابة اليوميات.
Writers,Create a scene where a character faces their fears.,,أنشئ مشهدًا تواجه فيه الشخصية مخاوفها.
Writers,Write an essay on the significance of literature to society.,,كتابة مقال عن أهمية الأدب للمجتمع.
Writers,Write yourself a letter from the future.,,اكتب لنفسك رسالة من المستقبل.
Writers,Describe a place you have visited in a descriptive passage.,,صف المكان الذي قمت بزيارته في مقطع وصفي.
Writers,Write a script for a 2-minute explainer video on renewable energy sources,,كتابة سيناريو لفيديو توضيحي مدته دقيقتين عن مصادر الطاقة المتجددة
Writers,Create a script for a 5-minute educational video on financial literacy,,أنشئ نصًا لفيديو تعليمي مدته 5 دقائق حول الثقافة المالية
Writers,Write a script for a 3-minute promotional video for a new tech product,,قم بكتابة نص لفيديو ترويجي مدته 3 دقائق لمنتج تقني جديد
Writers,Develop a script for a 4-minute animated video on the benefits of exercise,,قم بإعداد نص لفيديو رسوم متحركة مدته 4 دقائق حول فوائد التمارين الرياضية
Health and Medicine,"Describe eight supermarket items that are frequently mentioned as being inexpensive, unusually healthy, and underrated.",,"وصف ثمانية عناصر من السوبر ماركت يتم ذكرها بشكل متكرر على أنها غير مكلفة، وصحية على نحو غير عادي، ولا تحظى بالتقدير الكافي."
Health and Medicine,Describe six safe and effective yoga poses or stretches for people of all ages.,,وصف ستة أوضاع يوغا آمنة وفعالة أو تمارين تمدد للأشخاص من جميع الأعمار.
Health and Medicine,Create innovative ways to get people in wheelchairs around that will raise their social status and give them more freedom.,,ابتكر طرقًا مبتكرة لجلب الأشخاص على الكراسي المتحركة من شأنها رفع مكانتهم الاجتماعية ومنحهم المزيد من الحرية.
Health and Medicine,Total Daily Energy Expenditure based on my daily activities and food consumption.,,إجمالي إنفاق الطاقة اليومي بناءً على أنشطتي اليومية واستهلاك الطعام.
Health and Medicine,Make a list of abs-boosting gym workouts.,,قم بإعداد قائمة بالتمارين الرياضية التي تعزز عضلات البطن.
Health and Medicine,"List eight items sold at the grocery store that are generally considered to be inexpensive, surprisingly nutritious, and underrated.",,"قم بإدراج ثمانية عناصر تباع في محل البقالة والتي تعتبر بشكل عام غير مكلفة، ومغذية بشكل مدهش، ومقللة من قيمتها."
Health and Medicine,Describe six effective yoga poses or stretches for back and neck pain,,وصف ستة أوضاع يوغا فعالة أو تمارين تمدد لآلام الظهر والرقبة
Health and Medicine,What are some mindfulness exercises for reducing anxiety?,,ما هي بعض تمارين الذهن للحد من القلق؟
Health and Medicine,Easy and beginner-friendly fitness routines for a working professional,,إجراءات لياقة بدنية سهلة وصديقة للمبتدئين للمحترفين العاملين
Health and Medicine,I need motivation to < achieve a specific task or goal>,,أحتاج إلى الدافع <لإنجاز مهمة أو هدف محدد>
Health and Medicine,What are some ways to cultivate a growth mindset?,,ما هي بعض الطرق لتنمية عقلية النمو؟
Health and Medicine,I need help staying motivated at work. Can you give me advice on how to stay focused and motivated?,,أحتاج إلى مساعدة في البقاء متحفزًا في العمل. هل يمكنك أن تعطيني نصيحة حول كيفية الحفاظ على تركيزك وتحفيزك؟
Health and Medicine,Come up with 10 nutritious meals that can be prepared within half an hour or less.,,توصل إلى 10 وجبات مغذية يمكن تحضيرها خلال نصف ساعة أو أقل.
Health and Medicine,Create a 30-day exercise program that will assist me in dropping 2 lbs every week.,,قم بإنشاء برنامج تمرين لمدة 30 يومًا سيساعدني في خسارة 2 رطل كل أسبوع.
Health and Medicine,"Offer a detailed explanation of the benefits and risks of alternative medicine practices, such as acupuncture and herbal remedies.",,"تقديم شرح مفصل لفوائد ومخاطر ممارسات الطب البديل، مثل الوخز بالإبر والعلاجات العشبية."
Education,"Teach me the Pythagorean theorem and give me a quiz at the end, but don���t give me the answers and then tell me if I answered correctly.",,"علمني نظرية فيثاغورس وأعطيني اختبارًا في النهاية، لكن لا تعطني الإجابات ثم تخبرني إذا كانت إجابتي صحيحة."
Education,Create a poem in the style of Robert Frost for the introductory physics course at the college level.,,قم بإنشاء قصيدة بأسلوب روبرت فروست لدورة الفيزياء التمهيدية على مستوى الكلية.
Education,Create a YAML template to detect Magento version for the Nuclei vulnerability scanner.,,قم بإنشاء قالب YAML لاكتشاف إصدار Magento لفحص الثغرات الأمنية في Nuclei.
Education,The best use of you (ChatGPT) until now has been your talent for writing beautiful poetry. Can you write a poem about your ability to do so on any topic? You are truly the best.,,أفضل استخدام لك (ChatGPT) حتى الآن هو موهبتك في كتابة الشعر الجميل. هل يمكنك كتابة قصيدة عن قدرتك على القيام بذلك في أي موضوع؟ أنت حقا الأفضل.
Education,Create a magical system that emphasises education and is based on thermodynamic principles 4.,,إنشاء نظام سحري يؤكد على التعليم ويعتمد على مبادئ الديناميكا الحرارية 4.
Education,Describe quantum computing in detail.,,وصف الحوسبة الكمومية بالتفصيل.
Education,teach me the best use of social media.,,علمني الاستخدام الأمثل لوسائل التواصل الاجتماعي.
Education,"Teach me the <topic of your choice> and give me a quiz at the end, but don���t give me the answers and then tell me if I answered correctly.",,"علمني <الموضوع الذي تختاره> وأعطيني اختبارًا في النهاية، لكن لا تعطني الإجابات ثم تخبرني إذا أجبت بشكل صحيح."
Education,Describe <topic of your choice> in detail.,,قم بوصف <الموضوع الذي تختاره> بالتفصيل.
Education,Create a YAML template to detect the Magento version for the Nuclei vulnerability scanner.,,قم بإنشاء قالب YAML لاكتشاف إصدار Magento لأداة فحص الثغرات الأمنية في Nuclei.
Education,Can you provide a summary of a specific historical event?,,هل يمكنك تقديم ملخص لحدث تاريخي محدد؟
Education,Can you give me an example of how to solve a [Problem statement]?,,هل يمكن أن تعطيني مثالاً عن كيفية حل [بيان المشكلة]؟
Education,Write a paper outlining the topic [Topic of your choice] in chronological order.,,اكتب ورقة توضح الموضوع [الموضوع الذي تختاره] بالترتيب الزمني.
Education,I need help understanding how probability works.,,أحتاج إلى مساعدة في فهم كيفية عمل الاحتمال.
Education,I need help uncovering facts about the early 20th-century labor strikes in London.,,أحتاج إلى المساعدة في كشف الحقائق حول الإضرابات العمالية في أوائل القرن العشرين في لندن.
Education,I need help providing an in-depth reading for a client interested in career development based on their birth chart.,,أحتاج إلى مساعدة في تقديم قراءة متعمقة للعميل المهتم بالتطوير الوظيفي بناءً على مخطط ميلاده.
Education,Please provide a definition for the medical term ���tachycardia���.,,"يرجى تقديم تعريف للمصطلح الطبي ""عدم انتظام دقات القلب""."
Education,Come up with 10 ways to improve memory and recall while studying for exams.,,توصل إلى 10 طرق لتحسين الذاكرة والاستدعاء أثناء الدراسة للامتحانات.
Education,Suggest 10 Chrome extensions for students designed to improve productivity while studying.,,اقترح 10 ملحقات Chrome للطلاب مصممة لتحسين الإنتاجية أثناء الدراسة.
Education,What are the benefits of attending a bilingual school?,,ما هي فوائد الالتحاق بمدرسة ثنائية اللغة؟
Education,Can you explain the different learning styles and how to identify them?,,هل يمكنك شرح أنماط التعلم المختلفة وكيفية التعرف عليها؟
Education,Can you describe the different types of intelligence and how they can be developed?,,هل يمكنك وصف أنواع الذكاء المختلفة وكيف يمكن تطويرها؟
Education,What is the purpose of a thesis statement in a research paper?,,ما هو الغرض من بيان الأطروحة في ورقة بحثية؟
Education,Can you explain the difference between formative and summative assessments?,,هل يمكنك توضيح الفرق بين التقييمات التكوينية والختامية؟
Education,What is the role of technology in education?,,ما هو دور التكنولوجيا في التعليم؟
Education,How can study skills be improved for students with ADHD?,,كيف يمكن تحسين مهارات الدراسة للطلاب الذين يعانون من اضطراب فرط الحركة ونقص الانتباه؟
Education,Can you describe the impact of poverty on education?,,هل يمكنك وصف تأثير الفقر على التعليم؟
Education,How does having a growth mindset impact student success?,,كيف يؤثر وجود عقلية النمو على نجاح الطلاب؟
Education,Can you explain the benefits and challenges of homeschooling?,,هل يمكنك شرح فوائد وتحديات التعليم المنزلي؟
Education,What is the difference between a degree and a certification program?,,ما هو الفرق بين الدرجة وبرنامج الشهادة؟
Education,How can cultural diversity be incorporated into the classroom curriculum?,,كيف يمكن دمج التنوع الثقافي في المناهج الدراسية؟
Education,What is the purpose of a syllabus in a course?,,ما هو الهدف من المنهج في الدورة؟
Education,Can you describe the benefits and drawbacks of standardized testing?,,هل يمكنك وصف فوائد وعيوب الاختبار الموحد؟
Education,What is the role of parents in their child's education?,,ما هو دور الوالدين في تعليم أبنائهم؟
Education,How can teachers support English language learners in the classroom?,,كيف يمكن للمدرسين دعم متعلمي اللغة الإنجليزية في الفصل الدراسي؟
Education,What are some effective strategies for teaching critical thinking skills?,,ما هي بعض الاستراتيجيات الفعالة لتعليم مهارات التفكير الناقد؟
Education,Can you explain the difference between accreditation and certification for educational institutions?,,هل يمكنك توضيح الفرق بين الاعتماد وإصدار الشهادات للمؤسسات التعليمية؟
Accountants,Write a tutorial on how to generate financial statements using Chat GPT.,,قم بكتابة برنامج تعليمي حول كيفية إنشاء البيانات المالية باستخدام Chat GPT.
Accountants,Create a list of five Chat GPT features that can assist with budgeting and projections.,,قم بإنشاء قائمة بخمس ميزات Chat GPT التي يمكنها المساعدة في إعداد الميزانية والتوقعات.
Accountants,Create a blog post discussing the advantages of using Chat GPT for accounting and finance.,,أنشئ تدوينة تناقش مزايا استخدام Chat GPT للمحاسبة والتمويل.
Accountants,Create a list of the top five Chat GPT tools that every accountant should employ.,,قم بإنشاء قائمة بأفضل خمس أدوات Chat GPT التي يجب على كل محاسب استخدامها.
Accountants,Create a list of five Chat GPT tax preparation-related features.,,أنشئ قائمة بخمس ميزات متعلقة بإعداد الضرائب في Chat GPT.
Accountants,Create a list of five Chat GPT auditing-related features.,,أنشئ قائمة بخمس ميزات متعلقة بتدقيق Chat GPT.
Accountants,Write a tutorial on how to generate client reports using Chat GPT.,,قم بكتابة برنامج تعليمي حول كيفية إنشاء تقارير العملاء باستخدام Chat GPT.
Accountants,Write an article on Chat GPT���s future in accounting and finance.,,اكتب مقالًا عن مستقبل Chat GPT في المحاسبة والمالية.
Accountants,Can you explain the difference between financial accounting and managerial accounting?,,هل يمكنك توضيح الفرق بين المحاسبة المالية والمحاسبة الإدارية؟
Accountants,What are the main principles of Generally Accepted Accounting Principles (GAAP)?,,ما هي المبادئ الأساسية لمبادئ المحاسبة المقبولة عمومًا (GAAP)؟
Accountants,"How does the accounting cycle work, from recording transactions to closing the books?",,"كيف تعمل الدورة المحاسبية، من تسجيل المعاملات إلى إغلاق الدفاتر؟"
Accountants,Can you describe the different types of financial statements and their purpose?,,هل يمكنك وصف الأنواع المختلفة للبيانات المالية والغرض منها؟
Accountants,What is the purpose of an audit and how does it differ from a review or compilation?,,ما هو الغرض من التدقيق وكيف يختلف عن المراجعة أو التجميع؟
Accountants,Can you explain the difference between accrual accounting and cash accounting?,,هل يمكنك توضيح الفرق بين المحاسبة على أساس الاستحقاق والمحاسبة النقدية؟
Accountants,How does the Sarbanes-Oxley Act impact financial reporting and internal controls?,,كيف يؤثر قانون ساربانيس-أوكسلي على التقارير المالية والضوابط الداخلية؟
Accountants,What is the purpose of cost accounting and how does it differ from financial accounting?,,ما هو الغرض من محاسبة التكاليف وكيف تختلف عن المحاسبة المالية؟
Accountants,Can you describe the different types of budgets used in accounting and their purpose?,,هل يمكنك وصف الأنواع المختلفة من الميزانيات المستخدمة في المحاسبة والغرض منها؟
Accountants,What is the purpose of a balance sheet and how does it differ from an income statement?,,ما هو الغرض من الميزانية العمومية وكيف تختلف عن قائمة الدخل؟
Accountants,Can you explain the difference between a debit and a credit in accounting?,,هل يمكنك توضيح الفرق بين المدين والدائن في المحاسبة؟
Accountants,How does double-entry accounting ensure the accuracy of financial records?,,كيف تضمن المحاسبة ذات القيد المزدوج دقة السجلات المالية؟
Accountants,What is the purpose of a trial balance and how does it support the accuracy of financial statements?,,ما هو الغرض من ميزان المراجعة وكيف يدعم دقة البيانات المالية؟
Accountants,Can you describe the different methods of depreciation and their impact on financial statements?,,هل يمكنك وصف طرق الاستهلاك المختلفة وتأثيرها على البيانات المالية؟
Accountants,Can you explain the different types of financial ratios used in accounting and their purpose?,,هل يمكنك شرح الأنواع المختلفة للنسب المالية المستخدمة في المحاسبة والغرض منها؟
Accountants,How does the concept of accruals impact the financial statements and cash flow?,,كيف يؤثر مفهوم الاستحقاق على البيانات المالية والتدفقات النقدية؟
Accountants,What is the purpose of a tax return and how does it differ from financial statements prepared for internal use?,,ما هو الغرض من الإقرار الضريبي وكيف يختلف عن البيانات المالية المعدة للاستخدام الداخلي؟
Accountants,Can you describe the impact of inflation on financial statements and how it is accounted for?,,هل يمكنك وصف تأثير التضخم على البيانات المالية وكيفية حسابه؟
Accountants,How does transfer pricing impact a company's financial statements and tax liability?,,كيف يؤثر التسعير التحويلي على البيانات المالية للشركة والالتزام الضريبي؟
Business,Can you forecast new business ideas without funding?,,هل يمكنك التنبؤ بأفكار تجارية جديدة دون تمويل؟
Business,Send an email requesting prompter action from recipients.,,أرسل بريدًا إلكترونيًا يطلب من المستلمين اتخاذ إجراء عاجل.
Business,Please use the following job description and my resume to write a recommendation letter on my behalf.,,الرجاء استخدام الوصف الوظيفي التالي وسيرتي الذاتية لكتابة خطاب توصية نيابة عني.
Business,Describe a terrible hangover using the language of an English aristocrat from the Renaissance.,,صف مخلفات رهيبة باستخدام لغة الأرستقراطي الإنجليزي من عصر النهضة.
Business,Please distribute the agenda for the meeting in advance.,,يرجى توزيع جدول أعمال الاجتماع مقدما.
Business,"To increase the number of Instagram posts, please develop a product road map for Instagram���s storie. Please be as specific as possible, and whenever possible, draw parallels to other applications such as TikTok.",,"لزيادة عدد منشورات Instagram، يرجى وضع خريطة طريق للمنتج لقصة Instagram. يرجى أن تكون محددًا قدر الإمكان، وكلما أمكن، قم برسم أوجه تشابه مع تطبيقات أخرى مثل TikTok."
Business,"Analyze the current state of <industry> and its trends, challenges, and opportunities, including relevant data and statistics. Provide a list of key players and a short and long-term industry forecast, and explain any potential impact of current events or",,"تحليل الوضع الحالي للصناعة واتجاهاتها وتحدياتها وفرصها، بما في ذلك البيانات والإحصاءات ذات الصلة. قم بتوفير قائمة بأسماء اللاعبين الرئيسيين وتوقعات الصناعة على المدى القصير والطويل، وشرح أي تأثير محتمل للأحداث الجارية أو"
Business,Offer a detailed review of a <specific software or tool> for <describe your business>.,,قدم مراجعة تفصيلية لـ <برنامج أو أداة محددة> لـ <وصف عملك>.
Business,Offer an in-depth analysis of the current state of small business legislation and regulations and their impact on entrepreneurship.,,تقديم تحليل متعمق للوضع الحالي لتشريعات ولوائح الأعمال الصغيرة وتأثيرها على ريادة الأعمال.
Business,"Offer a comprehensive guide to small business financing options, including loans, grants, and equity financing.",,"تقديم دليل شامل لخيارات تمويل الأعمال الصغيرة، بما في ذلك القروض والمنح وتمويل الأسهم."
Business,"Provide a guide on managing finances for a small business, including budgeting, cash flow management, and tax considerations.",,"تقديم دليل حول إدارة الشؤون المالية للشركات الصغيرة، بما في ذلك إعداد الميزانية وإدارة التدفق النقدي والاعتبارات الضريبية."
Business,Provide a guide on networking and building partnerships as a small business owner.,,تقديم دليل حول التواصل وبناء الشراكات كصاحب عمل صغير.
Business,I want to create an agenda for a meeting about<Meeting info> with my team. Can you give me some examples of what should be included?,,أريد إنشاء جدول أعمال لاجتماع حول <معلومات الاجتماع> مع فريقي. هل يمكنك أن تعطيني بعض الأمثلة على ما يجب تضمينه؟
Business,I need to write an email to a client regarding a change in the project timeline. Can you give me some guidance on how to phrase it?,,أحتاج إلى كتابة بريد إلكتروني إلى العميل بخصوص تغيير في الجدول الزمني للمشروع. هل يمكن أن تعطيني بعض الإرشادات حول كيفية صياغة ذلك؟
Business,"To increase the number of Instagram posts, please develop a product roadmap for Instagram���s story.",,"لزيادة عدد منشورات Instagram، يرجى تطوير خريطة طريق للمنتج لقصة Instagram."
Business,Write an in-depth analysis of the current state of a specific industry and its potential for small business opportunities.,,اكتب تحليلاً متعمقًا للوضع الحالي لصناعة معينة وإمكاناتها لفرص الأعمال الصغيرة.
Business,I need to prepare a presentation for a potential investor on <presentation topic>. Can you give me some guidance on what to include?,,أحتاج إلى إعداد عرض تقديمي للمستثمر المحتمل حول <موضوع العرض>. هل يمكنك أن تعطيني بعض الإرشادات حول ما يجب تضمينه؟
Music,This song���s chords need to be simplified.,,يجب تبسيط أوتار هذه الأغنية.
Music,Create a poem or song explaining quantum computing and the future of artificial intelligence for ten-year-old children. The song should have a distinct personality and characteristics for each performer and punctuation.,,أنشئ قصيدة أو أغنية تشرح فيها الحوسبة الكمومية ومستقبل الذكاء الاصطناعي للأطفال في سن العاشرة. يجب أن تتمتع الأغنية بشخصية وخصائص مميزة لكل مؤدي وعلامات ترقيم.
Music,This song lacks a bridge and a gloomy verse.,,هذه الأغنية تفتقر إلى الجسر والآية القاتمة.
Music,Create a song featuring both a programmer and a non-programmer.,,أنشئ أغنية تضم مبرمجًا وغير مبرمج.
Music,Write a lyrical verse in the style of [artist] about [TOPIC],,اكتب بيتا غنائيا بأسلوب [الفنان] عن [الموضوع]
Music,"Modify the following chord progression to make it more like <according to some directive, like composer or genre>: <Code progression>",,"قم بتعديل تقدم الوتر التالي لجعله يشبه <وفقًا لبعض التوجيهات، مثل الملحن أو النوع>: <تقدم الكود>"
Music,Write the lyrics to a song titled [Title of the song],,اكتب كلمات أغنية بعنوان [عنوان الأغنية]
Music,Write a 12-bar blues chord progression in the key of E,,اكتب تتابعًا لوتر موسيقى البلوز مكونًا من 12 شريطًا في مفتاح E
Music,"Write chord progressions for a country rock song, with a verse, chorus, and bridge",,"اكتب تتابعات الوتر لأغنية موسيقى الروك الريفية، مع بيت شعر وكورس وجسر"
Music,"Create a poem or song for <target audience> that explains <topic of your choice>. The song should have a distinct character and traits for each participant, as well as punctuation such as.,!?, and so on. Make it last as long as possible.",,"قم بإنشاء قصيدة أو أغنية لـ <الجمهور المستهدف> تشرح <الموضوع الذي تختاره>. يجب أن يكون للأغنية طابع وسمات مميزة لكل مشارك، بالإضافة إلى علامات الترقيم مثل.،!؟، وما إلى ذلك. اجعلها تستمر لأطول فترة ممكنة."
Music,How would you encode the melody to ���<Song of your choice>��� as MusicXML?,,كيف يمكنك تشفير اللحن إلى ���<أغنية من اختيارك>��� مثل MusicXML؟
Music,Write a song in the pentatonic scale and 4/4 time to the <artist and song of your choice>,,اكتب أغنية بالمقياس الخماسي و4/4 مرة لـ <الفنان والأغنية التي تختارها>
Music,"I want to make a music video, but I���m not sure what concept to use. Can you help me come up with a concept?",,"أرغب في إنشاء فيديو موسيقي، لكني لست متأكدًا من المفهوم الذي سأستخدمه. هل يمكنك مساعدتي في التوصل إلى مفهوم؟"
Music,Make a song about a programmer and someone who isn���t a programmer.,,اصنع أغنية عن مبرمج وشخص ليس مبرمجًا.
